,year,country,job_title,salary
0,0,employee_residence,job_title,0.0
1,2020,DE,Data Scientist,79833.0
2,2020,JP,Machine Learning Scientist,260000.0
3,2020,GB,Big Data Engineer,109024.0
4,2020,HN,Product Data Analyst,20000.0
5,2020,US,Machine Learning Engineer,150000.0
6,2020,US,Data Analyst,72000.0
7,2020,US,Lead Data Scientist,190000.0
8,2020,HU,Data Scientist,35735.0
9,2020,US,Business Data Analyst,135000.0
10,2020,NZ,Lead Data Engineer,125000.0
11,2020,FR,Data Scientist,51321.0
12,2020,IN,Data Scientist,40481.0
13,2020,FR,Data Scientist,39916.0
14,2020,US,Lead Data Analyst,87000.0
15,2020,US,Data Analyst,85000.0
16,2020,PK,Data Analyst,8000.0
17,2020,JP,Data Engineer,41689.0
18,2020,PL,Big Data Engineer,114047.0
19,2020,IN,Data Science Consultant,5707.0
20,2020,PT,Lead Data Engineer,56000.0
21,2020,CN,Machine Learning Engineer,43331.0
22,2020,IN,Product Data Analyst,6072.0
23,2020,GR,Data Engineer,47899.0
24,2020,US,BI Data Analyst,98000.0
25,2020,AE,Lead Data Scientist,115000.0
26,2020,US,Director of Data Science,325000.0
27,2020,NL,Research Scientist,42000.0
28,2020,MX,Data Engineer,33511.0
29,2020,US,Business Data Analyst,100000.0
30,2020,CA,Machine Learning Manager,117104.0
31,2020,DE,Data Engineering Manager,59303.0
32,2020,US,Big Data Engineer,70000.0
33,2020,GR,Data Scientist,68428.0
34,2020,US,Research Scientist,450000.0
35,2020,FR,Data Analyst,46759.0
36,2020,AT,Data Engineer,74130.0
37,2020,US,Data Science Consultant,103000.0
38,2020,US,Machine Learning Engineer,250000.0
39,2020,NG,Data Analyst,10000.0
40,2020,US,Machine Learning Engineer,138000.0
41,2020,PH,Data Scientist,45760.0
42,2020,ES,Data Engineering Manager,79833.0
43,2020,PT,Machine Learning Infrastructure Engineer,50180.0
44,2020,US,Data Engineer,106000.0
45,2020,GB,Data Engineer,112872.0
46,2020,DE,ML Engineer,15966.0
47,2020,GB,Data Scientist,76958.0
48,2020,US,Data Engineer,188000.0
49,2020,US,Data Scientist,105000.0
50,2020,FR,Data Engineer,70139.0
51,2020,IN,Data Analyst,6072.0
52,2020,US,Data Analyst,91000.0
53,2020,DK,AI Scientist,45896.0
54,2020,PK,Data Engineer,54742.0
55,2020,RU,Computer Vision Engineer,60000.0
56,2020,DE,Principal Data Scientist,148261.0
